,Course,State,Gender,Mental Health Rating,Family History,Sleep Duration,Counselling Service Usage,Family Structure,First Time Away From Home,"Importance of Prayer,Meditation",Stress Score,Length of Stay,Coping Strategies
0,MSc DS,Kerala,Male,4,No,4-6 hours,No,Joint Family,Yes,4,4,Less than 6 months,Meditation
1,MSc DS,Kerala,Female,2,No,Less than 4 hours,No,Nuclear Family,No,3,4,Less than 6 months,Listening music
2,MSc DS,Uttar Pradesh,Female,4,No,4-6 hours,No,Nuclear Family,No,3,4,Less than 6 months,Listening music
3,MSc DS,Kerala,Female,2,No,7-8 hours,Yes,Nuclear Family,No,3,4,Less than 6 months,Sleeping
5,MSc DS,West Bengal,Female,1,No,4-6 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Watching movies/series
6,Msc GFA,Karnataka,Female,4,No,4-6 hours,No,Nuclear Family,Yes,4,4,Less than 6 months,Other
7,MSc EA,Kerala,Female,4,No,4-6 hours,No,Nuclear Family,Yes,4,3,Less than 6 months,Sleeping
9,MSc EA,Kerala,Female,2,No,4-6 hours,Yes,Nuclear Family,Yes,4,5,Less than 6 months,Listening music
10,MSc EA,Uttar Pradesh,Male,4,No,Less than 4 hours,No,Nuclear Family,No,4,3,Less than 6 months,Other
11,Msc GFA,West Bengal,Male,2,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Listening music
12,MSc DS,West Bengal,Male,2,No,4-6 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Sleeping
13,Msc GFA,Uttarakhand,Male,4,No,4-6 hours,Yes,Joint Family,Yes,4,2,Less than 6 months,Sleeping
14,MSc DS,Kerala,Female,4,No,4-6 hours,No,Nuclear Family,No,3,3,Less than 6 months,Listening music
15,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,Yes,4,5,Less than 6 months,Other
16,MSc DS,West Bengal,Female,5,No,Less than 4 hours,No,Joint Family,No,5,2,Less than 6 months,Meditation
17,Msc GFA,Uttarakhand,Female,1,Yes,7-8 hours,No,Joint Family,Yes,3,5,Less than 6 months,Sleeping
18,BBA LLB,Himachal Pradesh,Male,3,No,4-6 hours,Yes,Nuclear Family,Yes,4,3,Less than 6 months,Listening music
19,MSc DS,Kerala,Female,2,No,Less than 4 hours,No,Nuclear Family,No,4,5,Less than 6 months,Listening music
20,MSc DS,Kerala,Male,2,No,Less than 4 hours,No,Nuclear Family,No,3,3,Less than 6 months,Listening music
21,MSc DS,Kerala,Male,5,No,4-6 hours,No,Nuclear Family,Yes,4,3,Less than 6 months,Sleeping
22,MSc DS,Gujarat,Male,1,No,4-6 hours,No,Joint Family,Yes,2,5,Less than 6 months,Sleeping
23,MSc DS,Kerala,Male,4,No,Less than 4 hours,No,Nuclear Family,No,2,2,Less than 6 months,Sports
25,MSc DS,Maharashtra,Female,5,No,7-8 hours,No,Nuclear Family,No,3,1,Less than 6 months,Sleeping
26,MSc DS,Kerala,Female,3,No,Less than 4 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Listening music
27,MSc DS,Kerala,Male,4,No,4-6 hours,Yes,Joint Family,Yes,3,3,Less than 6 months,Sleeping
28,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,No,5,5,Less than 6 months,Other
29,MSc DS,West Bengal,Female,3,No,7-8 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Other
30,MSc DS,West Bengal,Male,1,No,4-6 hours,No,Joint Family,No,5,5,Less than 6 months,Meditation
31,MSc DS,Karnataka,Female,5,No,Less than 4 hours,No,Nuclear Family,Yes,2,2,Less than 6 months,Watching movies/series
32,MSc DS,Madhya Pradesh,Male,3,No,7-8 hours,No,Nuclear Family,No,4,2,Less than 6 months,Sleeping
33,MSc DS,Kerala,Male,2,No,4-6 hours,No,Nuclear Family,No,5,4,Less than 6 months,Sleeping
34,MSc DS,Tamil Nadu,Male,4,No,4-6 hours,No,Nuclear Family,No,4,3,Less than 6 months,Listening music
35,MSc DS,Kerala,Male,5,No,4-6 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Sports
36,MSc DS,Kerala,Female,2,No,4-6 hours,No,Nuclear Family,No,3,3,More than 2 years,Sleeping
37,MSc DS,Tamil Nadu,Male,4,No,7-8 hours,No,Nuclear Family,Yes,5,5,Less than 6 months,Sleeping
38,MSc DS,Karnataka,Male,4,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Listening music
39,MSc DS,Gujarat,Female,3,No,4-6 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Listening music
40,MSc DS,Gujarat,Male,3,No,4-6 hours,No,Joint Family,Yes,3,3,Less than 6 months,Sleeping
41,MSc DS,Goa,Male,3,No,Less than 4 hours,Yes,Nuclear Family,No,3,4,More than 1 year,Watching movies/series
42,MSc DS,Kerala,Male,2,No,4-6 hours,No,Joint Family,Yes,4,2,Less than 6 months,Listening music
43,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,Yes,5,3,Less than 6 months,Listening music
44,MSc DS,Kerala,Male,3,No,7-8 hours,No,Nuclear Family,No,3,3,Less than 6 months,Sports
45,MSc EA,Maharashtra,Female,4,No,Less than 4 hours,No,Nuclear Family,No,3,4,Less than 6 months,Listening music
46,MSc DS,Kerala,Male,3,No,4-6 hours,No,Nuclear Family,Yes,4,3,Less than 6 months,Listening music
47,MSc DS,Kerala,Male,4,No,7-8 hours,No,Joint Family,Yes,4,3,More than 1 year,Watching movies/series
48,MSc EA,Kerala,Female,2,No,4-6 hours,Yes,Nuclear Family,Yes,2,3,Less than 6 months,Listening music
49,MSc DS,Goa,Female,3,Yes,Less than 4 hours,No,Nuclear Family,No,3,5,Less than 6 months,Sleeping
50,MSc EA,West Bengal,Female,2,No,4-6 hours,No,Nuclear Family,Yes,5,5,Less than 6 months,Listening music
51,MSc DS,Telangana,Female,2,No,4-6 hours,No,Nuclear Family,Yes,5,4,More than 1 year,Sleeping
52,BBA,Karnataka,Male,5,No,7-8 hours,Yes,Joint Family,Yes,5,1,Less than 6 months,Other
53,MSc DS,Bihar,Male,5,No,4-6 hours,No,Nuclear Family,No,5,5,Less than 6 months,Listening music
54,MSc DS,Tamil Nadu,Male,4,No,4-6 hours,No,Joint Family,No,2,4,Less than 6 months,Listening music
55,BA LLB,Kerala,Female,2,No,Less than 4 hours,No,Nuclear Family,Yes,5,4,Less than 6 months,Other
56,BA LLB,Tamil Nadu,Female,4,No,4-6 hours,No,Nuclear Family,Yes,4,3,Less than 6 months,Listening music
57,BA LLB,Chhattisgarh,Female,2,No,7-8 hours,No,Joint Family,Yes,5,4,Less than 6 months,Sports
58,BA LLB,Bihar,Female,3,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Listening music
59,BA LLB,Bihar,Female,2,No,4-6 hours,No,Nuclear Family,Yes,3,3,Less than 6 months,Listening music
60,MSc DS,West Bengal,Male,5,No,4-6 hours,No,Joint Family,Yes,1,5,Less than 6 months,Other
61,MSc DS,West Bengal,Female,1,No,Less than 4 hours,No,Nuclear Family,Yes,4,5,Less than 6 months,Watching movies/series
62,BA LLB,Meghalaya,Female,3,No,4-6 hours,No,Joint Family,Yes,3,4,Less than 6 months,Listening music
63,MSc DS,Maharashtra,Female,1,No,7-8 hours,Yes,Nuclear Family,Yes,5,5,Less than 6 months,Listening music
64,MSc DS,Uttar Pradesh,Female,1,No,Less than 4 hours,Yes,Joint Family,No,5,5,Less than 6 months,Other
65,MSc DS,Kerala,Male,4,No,Less than 4 hours,No,Nuclear Family,No,2,1,Less than 6 months,Other
66,BA LLB,Tamil Nadu,Male,5,No,7-8 hours,No,Nuclear Family,No,1,1,Less than 6 months,Other
67,MSc DS,Assam,Female,3,No,4-6 hours,No,Nuclear Family,No,3,5,Less than 6 months,Listening music
68,BA LLB,Bihar,Female,5,No,4-6 hours,No,Nuclear Family,No,3,2,Less than 6 months,Watching movies/series
69,MBA,Andhra Pradesh,Male,5,No,4-6 hours,No,Nuclear Family,No,4,4,Less than 6 months,Listening music
70,MBA,Karnataka,Male,3,No,4-6 hours,No,Nuclear Family,No,4,4,Less than 6 months,Listening music
71,MSc DS,Goa,Male,2,No,4-6 hours,No,Nuclear Family,Yes,5,4,Less than 6 months,Listening music
72,MSc DS,Uttar Pradesh,Female,2,No,4-6 hours,No,Nuclear Family,Yes,5,2,Less than 6 months,Listening music
73,MSc DS,Uttar Pradesh,Female,4,No,4-6 hours,No,Nuclear Family,No,3,4,Less than 6 months,Listening music
74,MSc DS,Kerala,Male,3,No,4-6 hours,Yes,Nuclear Family,Yes,3,3,Less than 6 months,Listening music
75,BA LLB,Bihar,Female,3,No,Less than 4 hours,No,Nuclear Family,Yes,4,5,Less than 6 months,Listening music
76,BBA,Maharashtra,Female,1,No,More than 8 hours,Yes,Joint Family,No,4,4,More than 1 year,Sports
77,BA LLB,West Bengal,Female,3,No,Less than 4 hours,No,Nuclear Family,Yes,3,4,More than 1 year,Sports
78,MBA,Goa,Female,3,No,4-6 hours,No,Joint Family,Yes,3,3,Less than 6 months,Watching movies/series
79,MSc DS,West Bengal,Female,3,No,4-6 hours,No,Nuclear Family,Yes,3,3,Less than 6 months,Sleeping
80,BA LLB,Haryana,Female,4,No,4-6 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Listening music
81,BA LLB,Chhattisgarh,Female,2,No,7-8 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Sleeping
82,BSc DS,Telangana,Male,3,No,4-6 hours,No,Joint Family,No,1,5,Less than 6 months,Sleeping
83,BA LLB,Tamil Nadu,Female,4,No,4-6 hours,No,Joint Family,Yes,3,2,Less than 6 months,Listening music
84,BBA LLB,Kerala,Female,3,Yes,4-6 hours,No,Joint Family,No,5,5,Less than 6 months,Reading
85,BA LLB,Uttar Pradesh,Female,3,No,4-6 hours,No,Nuclear Family,Yes,4,4,Less than 6 months,Sleeping
86,BA LLB,Maharashtra,Female,4,No,4-6 hours,No,Joint Family,Yes,3,3,Less than 6 months,Sleeping
87,BBA,Telangana,Female,2,No,4-6 hours,No,Nuclear Family,Yes,1,4,More than 1 year,Listening music
89,BBA,Uttar Pradesh,Female,3,No,4-6 hours,No,Nuclear Family,No,1,4,More than 1 year,Sleeping
91,BA LLB,Rajasthan,Male,1,No,7-8 hours,Yes,Joint Family,No,1,5,More than 2 years,Sleeping
92,BSc DS,Maharashtra,Female,3,No,4-6 hours,No,Nuclear Family,No,1,4,More than 1 year,Sports
93,BSc DS,Uttar Pradesh,Male,4,No,4-6 hours,No,Nuclear Family,No,2,4,More than 1 year,Listening music
95,BBA LLB,Tamil Nadu,Female,3,No,4-6 hours,No,Joint Family,Yes,2,3,More than 1 year,Listening music
96,BBA LLB,West Bengal,Male,1,No,4-6 hours,No,Joint Family,Yes,5,3,More than 2 years,Watching movies/series
98,BA LLB,Tamil Nadu,Female,2,Yes,Less than 4 hours,No,Nuclear Family,No,2,5,More than 1 year,Listening music
99,BA LLB,Tamil Nadu,Female,3,No,7-8 hours,No,Nuclear Family,Yes,4,5,More than 1 year,Listening music
100,BSc DS,Telangana,Male,5,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Other
101,BCom,Tamil Nadu,Male,4,Yes,4-6 hours,Yes,Nuclear Family,Yes,3,3,More than 1 year,Sports
103,MSc EA,Maharashtra,Female,4,No,Less than 4 hours,No,Nuclear Family,Yes,4,5,Less than 6 months,Listening music
104,MSc DS,Uttar Pradesh,Female,2,No,Less than 4 hours,No,Nuclear Family,No,4,3,Less than 6 months,Listening music
105,BCom,Kerala,Male,3,No,4-6 hours,No,Nuclear Family,Yes,4,3,More than 1 year,Sports
106,MSc DS,Telangana,Female,2,No,4-6 hours,No,Nuclear Family,Yes,5,4,Less than 6 months,Other
107,BBA LLB,Karnataka,Female,1,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Sleeping
108,BBA LLB,Karnataka,Female,4,No,Less than 4 hours,No,Nuclear Family,No,1,5,More than 1 year,Other
109,MBA,Telangana,Male,4,No,7-8 hours,No,Nuclear Family,No,4,3,More than 2 years,Listening music
110,MBA,Kerala,Male,1,No,Less than 4 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Listening music
111,MBA,Tamil Nadu,Male,5,No,4-6 hours,No,Joint Family,Yes,4,2,Less than 6 months,Other
112,MBA,Tamil Nadu,Female,4,No,4-6 hours,No,Nuclear Family,Yes,4,4,Less than 6 months,Sleeping
113,MBA,Kerala,Female,5,No,4-6 hours,No,Nuclear Family,No,4,2,Less than 6 months,Listening music
114,MSc EA,Karnataka,Female,4,No,4-6 hours,Yes,Nuclear Family,Yes,5,5,More than 1 year,Listening music
115,BBA LLB,Maharashtra,Female,2,No,7-8 hours,Yes,Nuclear Family,No,2,5,More than 2 years,Sleeping
116,BA LLB,Tamil Nadu,Female,5,No,4-6 hours,No,Joint Family,Yes,1,3,More than 2 years,Listening music
117,BSc DS,Kerala,Female,3,No,7-8 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Listening music
118,BBA LLB,Tamil Nadu,Female,2,No,More than 8 hours,No,Nuclear Family,Yes,1,4,More than 2 years,Sleeping
119,BBA LLB,Tamil Nadu,Female,3,No,7-8 hours,No,Joint Family,Yes,5,3,More than 1 year,Sleeping
120,BBA,Karnataka,Female,3,No,7-8 hours,No,Nuclear Family,Yes,5,5,More than 1 year,Listening music
121,BBA LLB,Tamil Nadu,Female,2,No,7-8 hours,No,Joint Family,Yes,5,4,More than 2 years,Listening music
122,BBA LLB,Kerala,Female,2,No,7-8 hours,No,Nuclear Family,Yes,2,5,Less than 6 months,Sleeping
123,BBA,Rajasthan,Male,3,No,7-8 hours,No,Nuclear Family,Yes,2,2,Less than 6 months,Watching movies/series
124,BA LLB,West Bengal,Female,2,Yes,7-8 hours,No,Nuclear Family,Yes,4,5,More than 2 years,Listening music
125,BBA LLB,Kerala,Female,3,Yes,4-6 hours,No,Nuclear Family,No,4,3,Less than 6 months,Listening music
126,BBA LLB,Kerala,Female,2,No,4-6 hours,No,Nuclear Family,Yes,1,4,More than 1 year,Other
127,MSc DS,Tamil Nadu,Male,3,No,4-6 hours,No,Nuclear Family,Yes,4,5,Less than 6 months,Listening music
128,MSc DS,West Bengal,Male,5,No,Less than 4 hours,No,Joint Family,Yes,1,1,Less than 6 months,Sports
129,MSc DS,West Bengal,Female,3,No,4-6 hours,No,Nuclear Family,Yes,5,3,More than 1 year,Listening music
130,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,Yes,4,5,More than 1 year,Meditation
131,MSc DS,West Bengal,Female,3,No,4-6 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Listening music
132,MBA,Kerala,Female,2,No,7-8 hours,No,Nuclear Family,Yes,2,2,Less than 6 months,Listening music
133,MBA,Kerala,Female,3,No,7-8 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Watching movies/series
134,MBA,Kerala,Female,3,No,7-8 hours,No,Nuclear Family,Yes,2,2,Less than 6 months,Sports
135,MBA,Karnataka,Female,5,No,7-8 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Other
136,BBA,Haryana,Male,2,No,4-6 hours,No,Nuclear Family,Yes,1,2,Less than 6 months,Sports
137,BBA,Bihar,Female,4,No,7-8 hours,No,Joint Family,Yes,5,3,Less than 6 months,Listening music
138,BBA,Uttar Pradesh,Female,4,No,4-6 hours,No,Nuclear Family,Yes,2,3,Less than 6 months,Sleeping
139,BBA,West Bengal,Female,4,No,7-8 hours,No,Nuclear Family,Yes,4,3,Less than 6 months,Listening music
140,BBA LLB,Telangana,Male,3,No,4-6 hours,No,Nuclear Family,Yes,4,3,More than 2 years,Watching movies/series
141,BBA,Uttar Pradesh,Female,3,No,4-6 hours,Yes,Nuclear Family,Yes,5,5,More than 1 year,Other
142,BBA LLB,Jharkhand,Female,1,Yes,4-6 hours,No,Nuclear Family,Yes,5,5,More than 1 year,Other
143,BBA,Telangana,Female,3,No,4-6 hours,No,Nuclear Family,Yes,4,3,More than 1 year,Listening music
144,BBA,Madhya Pradesh,Male,2,No,4-6 hours,No,Nuclear Family,No,3,4,More than 1 year,Other
145,BBA,Goa,Other,1,Yes,Less than 4 hours,No,Joint Family,Yes,1,5,More than 2 years,Other
146,BBA LLB,Kerala,Male,1,No,4-6 hours,No,Nuclear Family,No,1,5,More than 1 year,Listening music
147,MA English,Tamil Nadu,Female,4,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Sleeping
149,MSc DS,West Bengal,Female,2,No,Less than 4 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Meditation
150,MSc DS,Kerala,Male,3,Yes,4-6 hours,Yes,Nuclear Family,Yes,3,3,More than 1 year,Sports
151,MSc DS,Bihar,Male,3,No,Less than 4 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Sports
152,MSc DS,Kerala,Male,5,No,4-6 hours,No,Nuclear Family,No,5,4,Less than 6 months,Listening music
153,MSc DS,Bihar,Male,5,No,4-6 hours,Yes,Nuclear Family,No,5,4,Less than 6 months,Sleeping
154,MSc DS,Kerala,Male,3,No,4-6 hours,No,Nuclear Family,No,3,4,Less than 6 months,Sports
155,MSc DS,Kerala,Male,3,Yes,4-6 hours,No,Nuclear Family,Yes,3,3,More than 1 year,Watching movies/series
156,MSc DS,Telangana,Female,3,No,4-6 hours,No,Nuclear Family,Yes,5,5,Less than 6 months,Listening music
157,MSc DS,Goa,Male,2,No,4-6 hours,No,Nuclear Family,Yes,5,5,Less than 6 months,Listening music
158,MSc EA,Odisha,Female,2,No,4-6 hours,Yes,Joint Family,No,5,5,Less than 6 months,Meditation
