,Course,State,Gender,Mental Health Rating,Family History,Sleep Duration,Counselling Service Usage,Family Structure,First Time Away From Home,"Importance of Prayer,Meditation",Stress Score,Length of Stay,Coping Strategies
159,MSc DS,Maharashtra,Male,4,No,Less than 4 hours,No,Nuclear Family,No,5,3,More than 1 year,Sleeping
160,MBA,Karnataka,Male,2,No,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Watching movies/series
161,MBA,Tamil Nadu,Male,2,No,4-6 hours,No,Nuclear Family,No,2,5,More than 1 year,Sleeping
162,MBA,Kerala,Male,5,No,7-8 hours,No,Nuclear Family,Yes,1,1,Less than 6 months,Listening music
163,MBA,Kerala,Male,5,No,4-6 hours,No,Nuclear Family,Yes,5,5,More than 1 year,Watching movies/series
164,MBA,Bihar,Female,4,No,4-6 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Listening music
165,MSc DS,West Bengal,Female,4,No,7-8 hours,Yes,Nuclear Family,Yes,3,2,More than 1 year,Sports
167,MSc DS,Maharashtra,Female,3,No,4-6 hours,No,Nuclear Family,Yes,5,3,Less than 6 months,Listening music
168,BBA LLB,Karnataka,Female,4,No,Less than 4 hours,Yes,Joint Family,No,4,3,More than 1 year,Sports
170,MBA,Karnataka,Female,5,No,4-6 hours,No,Nuclear Family,No,5,4,Less than 6 months,Listening music
171,MBA,Tamil Nadu,Male,4,No,Less than 4 hours,No,Joint Family,Yes,3,4,Less than 6 months,Listening music
172,MSc DS,Kerala,Female,4,No,Less than 4 hours,No,Nuclear Family,No,3,5,Less than 6 months,Sports
173,BBA LLB,Kerala,Female,4,No,Less than 4 hours,No,Joint Family,Yes,5,3,Less than 6 months,Listening music
174,MBA,Kerala,Female,4,No,Less than 4 hours,No,Joint Family,Yes,4,4,Less than 6 months,Listening music
175,BBA,Haryana,Female,4,No,Less than 4 hours,No,Joint Family,Yes,4,2,Less than 6 months,Listening music
176,MBA,Uttar Pradesh,Female,4,No,Less than 4 hours,Yes,Joint Family,Yes,4,4,More than 1 year,Sports
177,BBA,Rajasthan,Female,2,No,Less than 4 hours,No,Joint Family,No,4,4,Less than 6 months,Watching movies/series
178,MA English,Andhra Pradesh,Male,2,No,Less than 4 hours,No,Joint Family,No,4,4,More than 1 year,Listening music
179,BSc DS,Haryana,Male,4,No,Less than 4 hours,Yes,Joint Family,No,2,4,More than 1 year,Sleeping
180,BBA LLB,Telangana,Female,2,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 2 years,Sleeping
181,BA LLB,Tamil Nadu,Female,2,No,Less than 4 hours,No,Nuclear Family,No,2,4,Less than 6 months,Sports
182,BBA,Goa,Male,5,No,Less than 4 hours,No,Joint Family,Yes,3,2,More than 2 years,Listening music
183,BBA LLB,Karnataka,Male,4,No,Less than 4 hours,No,Joint Family,Yes,4,2,More than 1 year,Sleeping
184,BBA LLB,Karnataka,Male,2,No,4-6 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Listening music
185,MBA,Gujarat,Male,4,No,4-6 hours,No,Nuclear Family,Yes,3,5,Less than 6 months,Sports
186,BBA LLB,Telangana,Female,3,No,Less than 4 hours,Yes,Nuclear Family,Yes,5,5,Less than 6 months,Reading
187,BCom,West Bengal,Male,4,No,7-8 hours,No,Nuclear Family,No,4,4,More than 1 year,Meditation
188,BCom,Rajasthan,Female,2,No,4-6 hours,No,Nuclear Family,No,3,4,More than 1 year,Sleeping
189,BCom,Chhattisgarh,Male,4,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Sleeping
190,MBA,Assam,Male,4,No,7-8 hours,No,Joint Family,Yes,4,2,Less than 6 months,Sleeping
191,BBA LLB,Telangana,Male,4,Yes,4-6 hours,No,Joint Family,No,3,4,More than 1 year,Sleeping
192,BBA,Andhra Pradesh,Female,4,No,4-6 hours,Yes,Joint Family,No,4,3,More than 1 year,Sports
193,MSc DS,Telangana,Male,2,No,4-6 hours,No,Nuclear Family,No,4,5,More than 1 year,Listening music
194,MBA,Karnataka,Female,4,No,Less than 4 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Sports
195,Msc GFA,Bihar,Male,2,Yes,4-6 hours,No,Nuclear Family,No,2,2,Less than 6 months,Listening music
196,MSc EA,Kerala,Female,3,No,7-8 hours,No,Nuclear Family,No,5,3,More than 1 year,Sleeping
197,BA LLB,Karnataka,Female,4,No,4-6 hours,No,Nuclear Family,Yes,4,5,More than 2 years,Reading
198,BBA,Gujarat,Male,3,No,4-6 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Watching movies/series
199,MBA,Haryana,Female,2,No,Less than 4 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Meditation
200,BA LLB,Goa,Male,2,No,7-8 hours,No,Nuclear Family,Yes,4,4,Less than 6 months,Listening music
201,BBA,Assam,Female,4,Yes,Less than 4 hours,Yes,Nuclear Family,Yes,1,1,Less than 6 months,Watching movies/series
202,MBA,Uttarakhand,Female,2,No,4-6 hours,No,Nuclear Family,No,5,5,More than 1 year,Watching movies/series
203,BA,Goa,Female,3,No,4-6 hours,No,Nuclear Family,No,3,4,More than 1 year,Sleeping
204,BBA LLB,Tripura,Female,4,No,Less than 4 hours,No,Nuclear Family,No,4,5,More than 1 year,Sports
205,MBA,Assam,Male,3,No,4-6 hours,No,Joint Family,Yes,3,3,Less than 6 months,Sleeping
206,BA LLB,Madhya Pradesh,Male,5,No,4-6 hours,No,Joint Family,No,3,2,Less than 6 months,Sports
207,BCom,Andhra Pradesh,Female,2,No,Less than 4 hours,No,Nuclear Family,Yes,2,5,More than 1 year,Meditation
208,MSc DS,Madhya Pradesh,Male,3,No,4-6 hours,No,Nuclear Family,No,3,3,More than 1 year,Sleeping
209,BBA,Kerala,Male,3,No,Less than 4 hours,No,Nuclear Family,No,2,4,More than 1 year,Reading
210,MBA,Kerala,Male,4,No,4-6 hours,No,Nuclear Family,Yes,2,2,More than 1 year,Sleeping
211,MBA,Karnataka,Male,4,No,Less than 4 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Sleeping
212,BSc DS,Karnataka,Female,2,No,4-6 hours,No,Nuclear Family,No,5,3,Less than 6 months,Reading
213,BSc DS,Haryana,Male,3,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Sleeping
214,MBA,Bihar,Male,2,No,Less than 4 hours,No,Joint Family,Yes,4,2,More than 1 year,Reading
215,BSc DS,Odisha,Male,2,No,4-6 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Sleeping
216,MSc DS,Kerala,Male,4,No,4-6 hours,No,Nuclear Family,Yes,2,3,More than 1 year,Reading
217,BSc DS,Andhra Pradesh,Female,5,Yes,More than 8 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Sports
218,MBA,Kerala,Female,4,No,4-6 hours,No,Nuclear Family,No,4,5,More than 1 year,Listening music
219,BBA LLB,Tripura,Female,2,No,4-6 hours,No,Nuclear Family,Yes,2,3,More than 1 year,Listening music
220,BA LLB,Tamil Nadu,Female,2,No,7-8 hours,No,Nuclear Family,No,2,3,More than 2 years,Listening music
221,BCom,Haryana,Female,2,Yes,Less than 4 hours,No,Joint Family,Yes,4,5,More than 1 year,Listening music
222,MBA,Kerala,Male,2,No,Less than 4 hours,No,Nuclear Family,No,3,5,More than 1 year,Listening music
223,BA LLB,West Bengal,Male,2,No,Less than 4 hours,No,Joint Family,Yes,4,4,More than 1 year,Listening music
224,MBA,Andhra Pradesh,Male,2,No,4-6 hours,Yes,Nuclear Family,Yes,4,5,More than 1 year,Listening music
225,BBA,Madhya Pradesh,Male,3,No,4-6 hours,No,Nuclear Family,Yes,3,5,More than 1 year,Watching movies/series
226,BA LLB,West Bengal,Male,2,No,4-6 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Watching movies/series
227,BA LLB,West Bengal,Male,2,No,4-6 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Watching movies/series
228,BBA,Haryana,Female,3,No,7-8 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Listening music
229,BA LLB,Tamil Nadu,Male,4,No,4-6 hours,No,Nuclear Family,Yes,3,4,More than 1 year,Listening music
230,BBA LLB,Karnataka,Male,4,No,Less than 4 hours,No,Nuclear Family,No,4,4,More than 2 years,Other
231,BBA LLB,Kerala,Female,4,No,4-6 hours,No,Joint Family,No,4,4,More than 1 year,Other
232,BA LLB,Tamil Nadu,Female,4,No,Less than 4 hours,No,Nuclear Family,No,1,4,More than 1 year,Reading
233,BSc DS,Maharashtra,Male,2,No,4-6 hours,No,Nuclear Family,Yes,3,5,More than 1 year,Other
234,BCom,West Bengal,Male,4,No,Less than 4 hours,Yes,Nuclear Family,Yes,3,4,More than 1 year,Sleeping
235,MSc DS,Uttar Pradesh,Male,3,No,Less than 4 hours,No,Nuclear Family,No,3,4,More than 1 year,Reading
236,BSc DS,West Bengal,Male,2,No,4-6 hours,No,Nuclear Family,No,4,3,More than 1 year,Watching movies/series
237,MSc EA,Telangana,Male,2,Yes,4-6 hours,No,Joint Family,No,2,5,More than 1 year,Reading
238,MSc DS,Haryana,Female,2,Yes,7-8 hours,Yes,Nuclear Family,Yes,3,5,More than 1 year,Meditation
239,BA LLB,Maharashtra,Male,5,No,More than 8 hours,No,Joint Family,Yes,5,1,More than 2 years,Listening music
240,BSc EA,Himachal Pradesh,Male,5,No,4-6 hours,No,Nuclear Family,Yes,2,3,More than 1 year,Reading
241,MBA,Chhattisgarh,Male,1,No,4-6 hours,Yes,Nuclear Family,Yes,5,5,More than 1 year,Watching movies/series
242,MSc EA,Punjab,Female,2,Yes,4-6 hours,No,Nuclear Family,Yes,4,5,More than 1 year,Listening music
243,BBA LLB,Jammu & Kashmir,Male,4,No,7-8 hours,No,Joint Family,Yes,4,3,More than 1 year,Reading
244,BCom,Manipur,Female,4,No,Less than 4 hours,No,Nuclear Family,No,4,2,More than 2 years,Watching movies/series
245,LLM,Jammu & Kashmir,Female,2,No,Less than 4 hours,No,Joint Family,Yes,1,2,Less than 6 months,Sleeping
246,Msc GFA,Kerala,Female,3,No,7-8 hours,Yes,Joint Family,No,5,2,More than 2 years,Sleeping
247,BBA LLB,Karnataka,Male,2,No,Less than 4 hours,No,Nuclear Family,Yes,4,3,More than 1 year,Listening music
248,BBA LLB,Odisha,Male,2,Yes,4-6 hours,Yes,Nuclear Family,No,2,1,More than 2 years,Sports
249,BCom,Sikkim,Male,4,No,7-8 hours,No,Joint Family,Yes,4,3,More than 1 year,Meditation
250,BBA LLB,Telangana,Male,4,No,4-6 hours,No,Nuclear Family,Yes,2,4,More than 1 year,Listening music
251,BSc DS,Jharkhand,Female,2,Yes,Less than 4 hours,No,Joint Family,Yes,3,4,Less than 6 months,Watching movies/series
252,MA English,Bihar,Male,1,No,7-8 hours,No,Nuclear Family,Yes,1,2,More than 1 year,Reading
253,BBA,Goa,Male,5,No,4-6 hours,Yes,Nuclear Family,Yes,2,2,Less than 6 months,Sports
254,BCom,Andhra Pradesh,Female,2,Yes,7-8 hours,No,Nuclear Family,Yes,1,5,Less than 6 months,Reading
255,BA,Assam,Male,2,No,4-6 hours,Yes,Joint Family,Yes,2,1,More than 1 year,Sports
256,Msc GFA,Gujarat,Male,5,No,7-8 hours,No,Nuclear Family,No,5,2,More than 1 year,Listening music
257,BA LLB,Karnataka,Female,3,No,More than 8 hours,No,Nuclear Family,Yes,5,1,More than 1 year,Watching movies/series
258,Msc GFA,Andhra Pradesh,Female,3,No,4-6 hours,No,Joint Family,No,4,4,Less than 6 months,Sports
259,BSc EA,Kerala,Female,4,No,7-8 hours,No,Nuclear Family,Yes,5,3,Less than 6 months,Meditation
260,BBA,Haryana,Male,1,No,7-8 hours,No,Joint Family,No,3,3,Less than 6 months,Sleeping
261,MSc EA,Goa,Female,4,No,4-6 hours,No,Nuclear Family,No,3,5,More than 1 year,Listening music
262,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,No,4,5,More than 1 year,Listening music
263,MBA,West Bengal,Female,2,Yes,4-6 hours,No,Nuclear Family,No,3,4,More than 1 year,Sleeping
264,BA LLB,Haryana,Female,2,No,Less than 4 hours,No,Nuclear Family,No,3,4,More than 2 years,Sleeping
265,MBA,Bihar,Male,5,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Listening music
266,Msc GFA,Karnataka,Male,4,No,4-6 hours,No,Nuclear Family,No,2,4,More than 1 year,Watching movies/series
267,BBA LLB,Haryana,Male,2,No,7-8 hours,No,Nuclear Family,Yes,4,3,More than 1 year,Meditation
268,BA LLB,Tamil Nadu,Female,2,Yes,More than 8 hours,No,Nuclear Family,Yes,2,3,More than 1 year,Sleeping
269,BA LLB,Bihar,Male,3,No,7-8 hours,Yes,Nuclear Family,No,3,3,More than 1 year,Watching movies/series
270,BSc DS,Bihar,Female,4,No,4-6 hours,Yes,Joint Family,No,2,4,More than 1 year,Meditation
271,BA LLB,Uttar Pradesh,Female,3,Yes,4-6 hours,Yes,Nuclear Family,Yes,2,2,More than 1 year,Sleeping
272,MSc DS,Telangana,Female,4,Yes,4-6 hours,Yes,Nuclear Family,Yes,2,3,More than 1 year,Sleeping
273,BA LLB,Tripura,Female,3,No,7-8 hours,No,Joint Family,No,3,5,More than 1 year,Listening music
274,MSc DS,Haryana,Female,5,No,4-6 hours,No,Nuclear Family,Yes,4,4,More than 1 year,Sleeping
275,BBA LLB,Kerala,Female,1,Yes,More than 8 hours,No,Nuclear Family,No,4,1,Less than 6 months,Sleeping
276,MBA,Chhattisgarh,Male,2,No,7-8 hours,No,Nuclear Family,No,3,3,More than 1 year,Reading
277,BBA LLB,Gujarat,Male,2,No,7-8 hours,Yes,Joint Family,No,2,3,More than 1 year,Listening music
278,BBA LLB,Gujarat,Other,1,Yes,Less than 4 hours,No,Joint Family,Yes,2,5,Less than 6 months,Watching movies/series
279,MA English,Nagaland,Female,2,No,4-6 hours,No,Nuclear Family,Yes,3,3,More than 1 year,Sports
280,MBA,Assam,Male,5,No,More than 8 hours,No,Nuclear Family,Yes,5,2,More than 2 years,Watching movies/series
281,MSc EA,Chhattisgarh,Male,3,No,4-6 hours,No,Nuclear Family,No,5,1,More than 1 year,Sleeping
282,BA LLB,Telangana,Female,4,Yes,7-8 hours,Yes,Joint Family,Yes,2,4,Less than 6 months,Watching movies/series
283,BBA LLB,Madhya Pradesh,Female,2,No,4-6 hours,No,Joint Family,Yes,1,2,More than 1 year,Meditation
284,BSc EA,Jharkhand,Female,2,No,7-8 hours,No,Joint Family,Yes,3,3,Less than 6 months,Watching movies/series
285,BSc DS,Jammu & Kashmir,Female,2,No,4-6 hours,No,Nuclear Family,No,3,3,More than 1 year,Watching movies/series
286,BA LLB,Himachal Pradesh,Female,3,Yes,Less than 4 hours,Yes,Nuclear Family,Yes,3,2,Less than 6 months,Listening music
287,MBA,Gujarat,Female,2,No,More than 8 hours,No,Joint Family,No,1,1,More than 1 year,Watching movies/series
288,MBA,Chhattisgarh,Other,3,No,More than 8 hours,No,Nuclear Family,No,4,3,Less than 6 months,Sports
289,MBA,Maharashtra,Female,1,Yes,4-6 hours,Yes,Nuclear Family,No,4,5,Less than 6 months,Watching movies/series
290,Msc GFA,Karnataka,Male,4,No,7-8 hours,No,Joint Family,Yes,3,3,More than 1 year,Watching movies/series
291,BBA,Assam,Female,2,No,More than 8 hours,No,Nuclear Family,Yes,2,2,More than 1 year,Sports
292,BBA,Haryana,Female,2,Yes,4-6 hours,Yes,Joint Family,No,2,3,More than 2 years,Sports
293,BSc DS,Kerala,Male,5,No,4-6 hours,No,Nuclear Family,No,1,1,Less than 6 months,Other
294,BBA,Jharkhand,Male,2,No,4-6 hours,No,Joint Family,Yes,1,3,More than 1 year,Reading
296,BBA,Rajasthan,Female,4,No,7-8 hours,No,Joint Family,Yes,3,2,More than 1 year,Reading
297,MSc DS,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,No,3,5,More than 1 year,Listening music
298,MBA,Tamil Nadu,Female,2,No,4-6 hours,No,Nuclear Family,No,2,4,More than 1 year,Sleeping
299,BBA LLB,Kerala,Female,2,No,4-6 hours,No,Joint Family,Yes,4,4,More than 1 year,Listening music
300,MSc DS,Karnataka,Male,4,No,4-6 hours,No,Nuclear Family,Yes,5,5,More than 1 year,Watching movies/series
301,BSc DS,Punjab,Female,3,No,4-6 hours,No,Joint Family,Yes,1,3,Less than 6 months,Sleeping
302,BBA,Maharashtra,Male,3,No,4-6 hours,No,Nuclear Family,Yes,2,2,Less than 6 months,Sleeping
303,MBA,Goa,Male,2,Yes,Less than 4 hours,Yes,Nuclear Family,Yes,2,2,Less than 6 months,Watching movies/series
304,MA English,Tamil Nadu,Male,4,Yes,4-6 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Watching movies/series
305,BCom,Kerala,Female,1,No,7-8 hours,No,Joint Family,No,1,1,More than 1 year,Sports
306,MSc DS,Maharashtra,Other,5,No,More than 8 hours,No,Joint Family,No,5,1,More than 1 year,Watching movies/series
307,MBA,Tamil Nadu,Male,4,No,Less than 4 hours,No,Joint Family,Yes,3,4,Less than 6 months,Listening music
308,MBA,Kerala,Male,4,No,Less than 4 hours,No,Nuclear Family,Yes,2,4,Less than 6 months,Sleeping
309,MBA,Kerala,Male,4,No,Less than 4 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Sleeping
310,MBA,Kerala,Male,4,No,Less than 4 hours,No,Nuclear Family,Yes,3,4,Less than 6 months,Sleeping
311,MBA,Kerala,Female,4,No,Less than 4 hours,No,Joint Family,No,3,4,Less than 6 months,Listening music
312,MBA,Kerala,Female,4,No,Less than 4 hours,Yes,Joint Family,No,2,5,Less than 6 months,Sleeping
313,MBA,Tamil Nadu,Female,4,No,Less than 4 hours,No,Joint Family,No,3,4,Less than 6 months,Listening music
314,MBA,West Bengal,Male,4,No,4-6 hours,No,Joint Family,Yes,4,4,Less than 6 months,Sports
